datasets,RL 60%,RL 70%,RL 80%,MMx,MMy,MMz,Relax time
Stars_97,0.00352977911578,0.00526949802234,0.00787268913852,0.000532304873151,0.000315295334343,0.000567402947367,274153365687.0
Stars_98,0.00373232829979,0.00537057409491,0.00811988156453,-0.00107359963269,0.00223496935804,0.000117871695451,434480151423.0
Stars_99,0.00392341786589,0.00556682612991,0.00792864432474,-0.000288551592983,-0.000614032719669,-0.000199149892292,643603175641.0
Stars_100,0.00391638848239,0.00558839718825,0.00789815198808,-0.000344323001299,0.000207528284338,-0.000361363530017,395126821189.0
Stars_101,0.00389221251522,0.00560715438637,0.00787038322749,1.54370434903e-05,0.00146124309962,0.000369626182076,368240084785.0
Stars_102,0.00365199753693,0.00528936042511,0.00832278814564,0.00314146913337,0.000769848208261,0.000962555616122,599865453645.0
Stars_103,0.00358712732743,0.00526351099342,0.00832949865161,0.000718825520678,0.000641686278327,0.00131423293275,577786488326.0
Stars_104,0.00352130618495,0.00501631905055,0.00844667549093,-0.00122416289421,-0.00485500680136,-0.000951536222026,1.11068976229e+12
Stars_105,0.00346306567091,0.00518626491649,0.00847337053067,0.000546596456801,-0.000695334910685,-0.000292644814189,573302528883.0
Stars_106,0.00344867739382,0.00520792984325,0.00836110995442,-0.000239309858185,0.00030845423646,0.000200210670585,224282998364.0
Stars_107,0.00355351230849,0.00525281370144,0.00821242820887,-0.00152092927447,-0.00147096887006,-0.00122919934648,470519339221.0
Stars_108,0.00352169526457,0.00533087499007,0.00820126119875,7.49274486573e-05,-0.00011972056188,9.20634312846e-05,400373987211.0
Stars_109,0.00382124326132,0.00543854902505,0.00806038945971,-0.00277970182605,0.00100105118291,-0.0017118437636,844816131734.0
Stars_110,0.00383860750644,0.00540191300937,0.00809357831329,0.00328728020459,-0.00310794412398,0.00375395409129,913138176470.0
Stars_111,0.00380805249695,0.00547959025057,0.00819041219071,0.000304282205314,0.000426836751437,0.000713423378789,454980927002.0
Stars_112,0.00372350508581,0.00535257508787,0.00832175781933,0.000640803625817,0.000289154274134,0.000213619035396,357330920214.0
Stars_113,0.0037449724376,0.0053428278742,0.00826590549683,-0.00495879936338,-0.00502339698288,0.000248284380419,1.11411463089e+12
Stars_114,0.00355060619525,0.00538060726413,0.0082565799083,0.0024580739643,0.000795730075405,0.000803004541436,359284446793.0
Stars_115,0.0036210228291,0.00525906326946,0.00837972268686,-0.00696078102177,0.00855201182981,-0.00849890186199,2.35197556422e+12
Stars_116,0.00365739969559,0.00527898119175,0.00839368899153,-0.000132248429237,0.000193039401524,-0.00259338103204,1.06163301794e+12
Stars_117,0.00367090842216,0.00541095674769,0.00847035445101,-4.24054230225e-05,-0.000381637650363,-0.00149515736957,714506586310.0
Stars_118,0.00370413380453,0.00542741035307,0.00846669916042,0.00113137040266,-4.09490067239e-05,-0.0026359783034,378326843337.0
Stars_119,0.0037844868384,0.00555088992899,0.00836833870802,0.00129179557797,0.000818998082643,0.000766968122361,1.14123494572e+12
Stars_120,0.00375630355187,0.00562474015153,0.00842373716727,0.000730279043042,0.000337992056614,0.00109526034895,698130606308.0
Stars_121,0.00373695816812,0.00560226092131,0.00856387115268,0.000248084778453,0.000356269069107,0.00101941386761,595743466600.0
Stars_122,0.00376644401632,0.00576021014388,0.00853738451326,0.00532527282213,0.00138571381299,0.0083432096945,1.38690069555e+12
Stars_123,0.00375013708412,0.0057406324225,0.0085461414426,0.00267777824218,0.00158998376287,0.00213900959725,1.8067583884e+12
Stars_124,0.00370664334844,0.00561943780787,0.00861017418162,0.005825108707,-0.00327549926765,0.00876680417401,3.29185277158e+12
Stars_125,0.00374751276659,0.0055654164658,0.00872196935154,0.00417759573782,0.00391296905248,0.00278440321815,1.50001198156e+12
Stars_126,0.00377110103931,0.00557757061431,0.00871655806648,-0.00457106260444,0.00155529677796,-0.00385725561147,826873033383.0
Stars_127,0.00378691499162,0.0055623147808,0.00866838229291,0.00223370179526,0.00164548481651,0.000392939820118,751333150734.0
Stars_128,0.00381649656548,0.00557741857354,0.00860624845073,-0.00119666769533,-0.000864224127978,-0.00600790761305,983355938306.0
Stars_129,0.00381152953879,0.00556617742113,0.00858971585128,-0.000323406160321,0.000746263902808,-0.00159332009852,898302867606.0
Stars_130,0.00380702195832,0.00554764377831,0.00862649360573,-0.000233316632864,0.000785102150788,-0.00163673745403,904755564991.0
Stars_131,0.00363459572485,0.00540731172868,0.00869470859775,0.00112265028336,0.00096142624328,-0.00107310785219,578988372105.0
Stars_132,0.00361261012247,0.00554110209088,0.00874438039217,8.02804642458e-05,0.00141001525039,0.000524541698246,643544879376.0
Stars_133,0.00369193055948,0.00553132208283,0.0086655357275,0.000181690203234,0.000857882872866,0.000463428645627,433419627132.0
Stars_134,0.00381769566637,0.00555509407954,0.00861695491402,-0.0107693085174,-0.00767895375745,-0.00218583050682,1.30608702517e+12
Stars_135,0.0039156316554,0.00564783409925,0.00875863985811,0.00138139203429,0.000239665355447,-0.00176331030115,884914059952.0
Stars_136,0.00389985879086,0.00557892082749,0.00877111388999,0.00106205944145,-0.000242398785846,-0.000899224631021,654423809486.0
Stars_137,0.00396702872415,0.00569314880097,0.00868321552237,0.000998491104988,0.000220951892717,-0.000702145808638,499665871725.0
Stars_138,0.00388102256344,0.0058465771453,0.00865702917117,0.00176461367282,0.000374067366737,0.000660297450938,576158913726.0
Stars_139,0.00389595954186,0.00583198538233,0.00877390900943,0.00195947062094,0.000781865894448,0.000598777281933,1.78015031555e+12
Stars_140,0.00398769077983,0.00579441296549,0.00884681217584,0.000841056552342,0.000777844898333,0.000455823673732,393365735975.0
Stars_141,0.00399541777475,0.00573245740022,0.0088116899502,0.00118750710761,0.000473157276102,0.00116699571433,488893577991.0
